 27	 28-Al	 13	p	  4621.540	    4621.54(3)	     0.00037200	        0.000372(21)	     Stable	 0.00E+00	        4.18E-05(24)
 27	 28-Al	 13	p	  4754.377	  4754.377(24)	     0.00080000	          0.00080(7)	     Stable	 0.00E+00	          9.0E-05(8)
 27	 28-Al	 13	p	  5879.460	  5879.460(24)	     0.00005100	          5.1E-05(4)	     Stable	 0.00E+00	          5.7E-06(5)
 27	 28-Al	 13	p	  6862.190	  6862.190(22)	     0.00036000	          0.00036(6)	     Stable	 0.00E+00	          4.0E-05(7)
 27	 28-Al	 13	p	  5802.830	    5802.83(4)	     0.00006900	          6.9E-05(4)	     Stable	 0.00E+00	          7.7E-06(5)
 27	 28-Al	 13	p	  6162.140	    6162.14(3)	     0.00002500	          2.5E-05(4)	     Stable	 0.00E+00	          2.8E-06(5)
 27	 28-Al	 13	p	  7175.490	    7175.49(3)	     0.00026000	        0.000260(15)	     Stable	 0.00E+00	        2.92E-05(17)
 27	 28-Al	 13	p	  3024.810	    3024.81(9)	     0.00010000	          1.0E-04(4)	     Stable	 0.00E+00	          1.1E-05(5)
 27	 28-Al	 13	p	  3598.360	    3598.36(7)	     0.00024000	          2.4E-04(5)	     Stable	 0.00E+00	          2.7E-05(6)
 27	 28-Al	 13	p	  4612.910	    4612.91(7)	     0.00003100	          3.1E-05(4)	     Stable	 0.00E+00	          3.5E-06(5)
 27	 28-Al	 13	p	  5129.970	    5129.97(6)	     0.00020900	        2.09E-04(18)	     Stable	 0.00E+00	        2.35E-05(20)
 27	 28-Al	 13	p	  6255.030	    6255.03(6)	     0.00002740	        2.74E-05(20)	     Stable	 0.00E+00	        3.08E-06(22)
 27	 28-Al	 13	p	  7237.750	    7237.75(6)	     0.00017000	        1.70E-04(10)	     Stable	 0.00E+00	        1.91E-05(11)
 27	 28-Al	 13	p	  7268.380	    7268.38(6)	     0.00007400	          7.4E-05(4)	     Stable	 0.00E+00	          8.3E-06(5)
 27	 28-Al	 13	p	   455.770	     455.77(6)	     0.00077400	        0.000774(22)	     Stable	 0.00E+00	        8.69E-05(25)
 27	 28-Al	 13	p	   548.690	     548.69(3)	     0.00053300	        0.000533(16)	     Stable	 0.00E+00	        5.99E-05(18)
 27	 28-Al	 13	p	   831.426	   831.426(22)	     0.00269000	          0.00269(7)	     Stable	 0.00E+00	         0.000302(8)
 27	 28-Al	 13	p	   968.480	     968.48(4)	     0.00079000	          0.00079(3)	     Stable	 0.00E+00	          8.9E-05(3)
 27	 28-Al	 13	p	  1073.940	    1073.94(4)	     0.00100000	          0.00100(4)	     Stable	 0.00E+00	         1.12E-04(5)
 27	 28-Al	 13	p	  1102.060	    1102.06(4)	     0.00103000	          0.00103(4)	     Stable	 0.00E+00	         1.16E-04(5)
 27	 28-Al	 13	p	  1283.693	  1283.693(12)	     0.00222000	          0.00222(6)	     Stable	 0.00E+00	         2.49E-04(7)
 27	 28-Al	 13	p	  1305.210	    1305.21(7)	     0.00043000	          0.00043(4)	     Stable	 0.00E+00	          4.8E-05(5)
 27	 28-Al	 13	p	  1408.344	   1408.344(9)	     0.00640000	         0.00640(13)	     Stable	 0.00E+00	        0.000719(15)
 27	 28-Al	 13	p	  1526.246	  1526.246(12)	     0.00339000	          0.00339(9)	     Stable	 0.00E+00	        0.000381(10)
 27	 28-Al	 13	p	  1705.509	  1705.509(22)	     0.00080000	          0.00080(5)	     Stable	 0.00E+00	          9.0E-05(6)
 27	 28-Al	 13	p	  1864.330	    1864.33(3)	     0.00091000	          0.00091(4)	     Stable	 0.00E+00	         1.02E-04(5)
 27	 28-Al	 13	p	  1927.527	  1927.527(25)	     0.00262000	          0.00262(7)	     Stable	 0.00E+00	         0.000294(8)
 27	 28-Al	 13	p	  1983.978	  1983.978(14)	     0.00207000	          0.00207(8)	     Stable	 0.00E+00	         2.32E-04(9)
 27	 28-Al	 13	p	  2282.794	   2282.794(9)	     0.00890000	         0.00890(17)	     Stable	 0.00E+00	        0.001000(19)
 27	 28-Al	 13	p	  2347.240	    2347.24(4)	     0.00034000	          0.00034(3)	     Stable	 0.00E+00	          3.8E-05(3)
 27	 28-Al	 13	p	  2548.080	    2548.08(5)	     0.00026000	          0.00026(4)	     Stable	 0.00E+00	          2.9E-05(5)
 27	 28-Al	 13	p	  2590.193	   2590.193(9)	     0.00807000	         0.00807(16)	     Stable	 0.00E+00	        0.000906(18)
 27	 28-Al	 13	p	  2709.620	    2709.62(3)	     0.00140000	          0.00140(7)	     Stable	 0.00E+00	         1.57E-04(8)
 27	 28-Al	 13	p	  2821.444	   2821.444(7)	     0.00752000	         0.00752(15)	     Stable	 0.00E+00	        0.000845(17)
 27	 28-Al	 13	p	  3033.896	   3033.896(6)	     0.01790000	           0.0179(3)	     Stable	 0.00E+00	          0.00201(3)
 27	 28-Al	 13	p	  3128.460	    3128.46(3)	     0.00054000	          0.00054(4)	     Stable	 0.00E+00	          6.1E-05(5)
