run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_67,m113On_dr600_r550_001,B,549.75,599.75,607,1784753524.0,1784754138.0,3.2130000591278076,3.2258962049122895,0.012896145784481838,0.0012303439976875008,0.2257001647446458,168,0.2736156351791531,47.132342331380045,4.496614372500747,46.027678057988325,False,
run_67,m113On_dr600_r550_001,C,549.5,599.75,607,1784753524.0,1784754138.0,0.017000000923871994,0.0994678751474992,0.08246787422362721,0.0069255103055504644,0.2981878088962109,168,0.2736156351791531,301.4004450792089,25.311091235761815,294.336372147665,True,
run_67,m113On_dr600_r550_001,D,549.5,600.0,607,1784753524.0,1784754138.0,2.931999921798706,3.068168036038243,0.136168114239537,0.010887932436013962,0.4464579901153213,168,0.2736156351791531,497.6620365659269,39.79280068876531,485.99808258391295,False,
run_67,m113On_dr700_r520_040,A,519.75,699.75,607,1784778052.0,1784778670.0,1.3179999589920044,1.3307990110686427,0.01279905207663834,0.00119707638085196,0.20593080724876442,155,0.25080906148867316,51.031059247499954,4.772859376558137,49.83501879638667,False,
run_67,m113On_dr700_r520_040,B,519.75,699.75,607,1784778052.0,1784778670.0,5.019000053405762,5.027196052243329,0.008195998837567053,0.001258010208087292,0.3212520593080725,155,0.25080906148867316,32.678240526557666,5.015808442567395,31.912344264216472,False,
run_67,m113On_dr700_r520_040,C,519.5,699.75,607,1784778052.0,1784778670.0,0.006000000052154064,0.028144975225065254,0.02214497517291119,0.001688661269847112,0.2487644151565074,155,0.25080906148867316,88.29415907651041,6.732855901713,86.22476472315469,True,
run_67,m113On_dr700_r520_040,D,519.5,700.25,607,1784778052.0,1784778670.0,0.9850000143051147,1.0647677110486604,0.07976769674354567,0.005478416410150149,0.3756177924217463,155,0.25080906148867316,318.0415263710401,21.842976396598655,310.58742809671884,False,
run_67,m113On_dr700_r525_037,A,524.75,699.75,603,1784776167.0,1784776780.0,1.3990000486373901,1.4111094571662384,0.012109408528848231,0.001335725288170044,0.2703150912106136,168,0.2740619902120718,44.1849251677617,4.873807152668077,43.149340984142285,False,
run_67,m113On_dr700_r525_037,B,524.75,699.75,603,1784776167.0,1784776780.0,5.211999893188477,5.209114436881855,-0.0028854563066218475,0.003523259805792413,0.4262023217247098,168,0.2740619902120718,-10.52848045213805,12.855703934230648,-10.281719191541065,False,
run_67,m113On_dr700_r525_037,C,524.5,699.75,603,1784776167.0,1784776780.0,0.007000000216066837,0.031444444389053146,0.02444444417298631,0.001968630005684571,0.24212271973466004,168,0.2740619902120718,89.19312070262265,7.183155913599059,87.10265693615493,True,
