eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
741215,72.2646,49.6089,66.9310,47.6870,0.0,1370.0
1197457,85.5525,23.8405,86.0172,21.1810,0.0,1370.0
1478164,51.7168,48.1132,47.2074,48.5828,0.0,1370.0
578364,72.9867,34.9488,96.7313,19.0479,0.0,1370.0
88204,70.7426,51.5825,66.9654,48.6081,0.0,1370.0
1117615,74.9374,76.7678,71.6227,75.7897,0.0,1370.0
121169,79.9767,28.5173,77.2562,35.6957,0.0,1370.0
1054090,68.2653,16.5315,67.2245,12.3719,0.0,1370.0
1232486,46.9191,48.2265,46.9790,49.7414,0.0,1370.0
377908,15.6165,31.7128,91.0261,21.3748,0.0,1370.0
750872,38.4274,88.1101,37.5835,31.1545,0.0,1370.0
611109,85.6421,18.6813,84.5900,15.2745,0.0,1370.0
860604,70.0038,35.1512,68.9441,32.2425,0.0,1370.0
62492,77.6843,90.5381,77.0149,89.7207,0.0,1370.0
224698,73.7008,18.6342,73.3413,15.3402,0.0,1370.0
27263,67.8992,16.8099,66.6393,13.5707,0.0,1370.0
12546,68.7656,34.2457,67.4564,31.3237,0.0,1370.0
283141,55.1957,71.6973,47.6737,66.7888,0.0,1370.0
1566750,15.3487,16.5230,4.7879,4.3224,0.0,1370.0
346433,88.3724,87.1016,78.9261,96.3939,0.0,1370.0
15512,51.0883,41.6611,50.4307,39.1546,0.0,1370.0
623670,84.3964,23.1713,18.6525,75.1571,0.0,1370.0
939679,56.7639,96.1308,56.4462,95.6105,0.0,1370.0
382515,88.7333,23.0044,87.8096,18.9788,0.0,1370.0
811496,56.9042,23.6128,57.5318,19.5827,0.0,1370.0
31788,79.6837,45.6127,78.2176,41.8422,0.0,1370.0
1111111,103.4400,59.6039,10.9981,28.8210,0.0,1370.0
892777,46.9300,72.1860,37.9687,76.0857,0.0,1370.0
1595706,83.5359,51.1352,76.7255,57.1544,0.0,1370.0
195106,26.7942,76.1048,26.4445,74.9348,0.0,1370.0
514640,69.5562,38.3745,69.1193,36.2306,0.0,1370.0
623685,73.6586,41.8163,72.5598,39.3051,0.0,1370.0
1531676,88.3357,79.0010,87.3637,78.1565,0.0,1370.0
864464,57.8593,80.4962,56.8030,80.1366,0.0,1370.0
1282226,93.4065,94.9915,81.9967,81.6585,0.0,1370.0
461,53.8831,41.4513,51.9010,30.6416,0.0,1370.0
702427,66.3266,80.0114,65.4175,78.8499,0.0,1370.0
206999,98.6187,19.7059,97.4997,16.4177,0.0,1370.0
995980,74.2446,18.7403,73.3570,15.8896,0.0,1370.0
1104327,71.9358,71.0876,71.0232,69.8792,0.0,1370.0
1145343,54.2440,28.0279,56.0213,28.3065,0.0,1370.0
1194355,83.4636,31.9992,83.1191,29.2263,0.0,1370.0
515891,92.2963,32.1594,91.2454,28.8079,0.0,1370.0
1556279,80.9143,108.7612,75.4283,91.6325,0.0,1370.0
1206918,86.8187,44.3533,85.6596,41.8213,0.0,1370.0
766460,71.4339,32.1545,71.0987,28.1631,0.0,1370.0
708334,42.6820,81.4435,38.4710,84.1336,0.0,1370.0
777976,93.2249,18.9570,6.4111,97.8833,0.0,1370.0
649767,50.0303,58.4366,47.9144,57.0403,0.0,1370.0
1289718,45.4715,85.9752,48.5195,85.2579,0.0,1370.0
236855,84.5812,19.6822,82.2138,16.6890,0.0,1370.0
1431492,78.6461,44.7746,77.9265,62.0956,0.0,1370.0
1084017,51.0623,75.1241,48.0640,74.2208,0.0,1370.0
140897,42.4553,75.8475,43.3907,74.1633,0.0,1370.0
531120,25.3439,49.1354,25.7798,49.6357,0.0,1370.0
577216,67.0150,31.2669,73.8764,39.5216,0.0,1370.0
1130149,54.4175,106.3717,8.7899,94.4943,0.0,1370.0
1262345,16.7447,59.1924,14.1919,58.1816,0.0,1370.0
732879,98.7785,38.7152,97.1266,35.3680,0.0,1370.0
439619,43.3579,53.1900,39.1231,69.1730,0.0,1370.0
157984,67.3235,62.5953,70.2067,43.2269,0.0,1370.0
629533,85.6511,32.2967,84.8581,29.5171,0.0,1370.0
1528888,80.7114,49.6319,79.9457,47.2367,0.0,1370.0
